Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
104974-001-006_S1_L001_1	1.6809848608775102	1.8118080346811185	2.26956451448904	2.2400432808187194	1.829903349725287	1.342356801807406	0.9430284807258	0.663445962169332	0.4890556635237432	3.711482801439113	1.1247779556642712	2.188229923522143	0.6155233271453995	0.8863652349151103	0.5212808177976759	77.68214899069831
104974-001-006_S1_L001_2	5.357133687616217	2.485691268780536	2.926091746691632	2.7675264117257403	2.1646302637724153	1.5587836854478536	1.0302429133815356	0.6757079820192745	0.4724508721754458	3.3520659702855395	0.9481429172326771	1.631641647066774	0.5017036979865157	1.1089604148991656	0.5503625991034492	72.46886392181517
104974-001-007_S1_L001_1	11.828278068216513	10.576427525271583	8.545715076022352	5.661135100003853	3.5169004589680886	2.1909696255955824	1.3866858675794533	1.0221863077478144	0.7406187603025122	6.028063328523028	1.5900817453593414	3.4625804493476298	1.6302798366495834	5.46116271241347	3.4082326536970893	32.95068248430211
104974-001-007_S1_L001_2	20.685317447389085	11.890849575953268	9.021518958216875	5.631034011932917	3.132720784303457	1.7888249783531807	1.0938792337584284	0.7054924172502672	0.5220548598449681	5.0674129917136534	1.6480933931785025	4.0811898453234585	1.94427231907949	5.848539002277274	2.954896433312852	23.98390374811218
104974-001-008_S1_L001_1	11.509690370944924	8.931480961467718	5.858884213706496	3.4892939448883005	1.9776572890293362	1.2177752201061878	0.8715250276168944	0.6171503934810779	0.5061189801213127	5.1123670604178075	1.6507685146010302	3.603767604382947	1.873250357604719	6.5309094491249216	4.491280870862161	41.75807974164421
104974-001-008_S1_L001_2	17.20901632085255	10.326871170291302	6.326274032485024	3.484550915709496	1.8272701011540013	1.0588715251083602	0.6929102444743609	0.5023070968312191	0.39842530892638855	4.646782441414113	1.9018100842381893	4.9456733151672605	2.523224991725405	8.071063452184621	3.832663120393392	32.252285879044415
104974-001-009_S1_L001_1	2.3796668414218543	1.8921045184106458	2.1398939216955166	2.1014004651419773	1.710802032339702	1.3283426273451924	1.0057436853667265	0.6955323281976536	0.5408729018098426	4.517668398387267	1.3821206059551945	2.6809265138326035	1.257736247422615	6.094086636632003	5.170473945067915	65.10262833097329
104974-001-009_S1_L001_2	5.899943653562458	2.527812941332426	2.7477667122551708	2.6410796697404213	2.082105659052256	1.5772988466899425	1.1244696588456256	0.7835355570418154	0.5617184160167388	4.819544174066009	1.816447406959893	5.459624134795999	3.2182819194176497	10.77134105636057	6.395977844686293	47.57305234917677
104974-001-010_S1_L001_1	2.7485994690835804	1.8322025451802706	2.219885573334341	2.341470224528266	2.1007922701511754	1.6373359123655198	1.2549571367745143	0.9578590060104338	0.7036122068402487	5.27028012482044	1.3692358305182653	2.418757120343382	1.195610670564304	5.974515302332181	5.050614665566636	62.924271941586454
104974-001-010_S1_L001_2	9.505002165470296	2.7754997607280716	2.934803351203357	2.8948512136857305	2.473668839346904	1.9288028815138243	1.4001767515891401	1.0119441147646728	0.6924174499057796	5.1551307962087245	1.6806138087462206	4.773537187949537	3.0622581811357996	10.597747457651563	6.527586755018626	42.58595928508177
104974-001-011_S1_L001_1	1.8533768383650233	0.5289159173801614	0.6224683390751877	0.820474902383835	0.981829976549925	1.0436761194711617	1.0602644261019056	0.9301863346706385	0.8411532204869189	6.299659451092738	1.4952142341479364	2.787252447592173	1.2399268044452274	5.747156020110969	4.980156456203197	68.768288511923
104974-001-011_S1_L001_2	8.43914467684397	1.0593458966245657	1.0213098426858331	1.2165351003530664	1.4410132570011638	1.459196392594955	1.3620490466988233	1.2278450158235676	1.034772549267944	6.893640299018604	1.8470666772106947	4.95164654332888	2.853246491889265	9.677306006110935	5.490462113408456	50.02542009113918
104974-001-012_S1_L001_1	9.88167996588447	4.668563624966999	2.6647751758643587	1.7003351710937433	1.2567133603715794	1.031892018882708	0.8041898123905082	0.7034661843355843	0.5843405184058379	7.626361002821466	2.950393597621698	7.7100402704588555	3.3006974954983717	7.180577159365622	3.779460652424458	44.156513989613835
104974-001-012_S1_L001_2	11.357631901630885	4.943929074338214	2.728350554648753	1.7674074799932966	1.3101980150502917	0.9726807614909585	0.776634246135755	0.6534099475007307	0.5749520962093149	7.233030109704178	3.053124391574786	7.555637206051917	2.8709756080359012	5.315272879317763	3.131362107562942	45.755403620754265
104974-001-013_S1_L001_1	6.035664937130324	3.6044745986211075	2.278930468371423	1.4801389752051182	1.1205273040406658	0.8538474928619569	0.6630347354270076	0.5794885655795887	0.4974210303244948	6.415114638853188	2.3802522288716648	6.225213998399102	2.8511191293985645	6.146752254356787	2.7008096575459075	56.16720998501308
104974-001-013_S1_L001_2	7.412035400856422	3.8710730287154993	2.434742832847192	1.6013492205729112	1.1311096786495647	0.8823458364852923	0.741530067784937	0.5868432424180843	0.48656866184343905	6.303584122192831	2.4896706765507206	6.159177963067876	2.4197265647373873	4.3181193556371715	2.278996175894904	56.883127171745876
104974-001-014_S1_L001_1	3.0487914538034375	1.4015061315379667	0.7217836438871261	0.4378306955431646	0.3097765971326471	0.24650216533491942	0.20195140830842795	0.16826768212243082	0.14818899773345487	2.4318498013534877	1.079187880119455	3.0388123970639707	1.7855208415290622	5.215626698334232	3.332849635739209	76.43155397045703
104974-001-014_S1_L001_2	3.54250709004396	1.4382701287931101	0.7333071938767131	0.4388619230089207	0.31361045005017796	0.251788586699411	0.20063651326535578	0.1792144435012312	0.16028490873983825	2.4561480562871814	0.9478876067391286	2.516680062128819	1.3364622267264958	3.0608154639293126	2.645700222908563	79.77782512330178
104974-001-015_S1_L001_1	3.43180257309101	2.5241917879440754	1.674609695316224	1.116555546463612	0.7483380684653351	0.5627665339884873	0.4347879313723747	0.33287721151444183	0.30044854358071543	3.7181381584608686	1.3560801432262382	3.0709844634257695	1.5572538503704225	4.9830891078320825	2.8019373204273923	71.38613906452096
104974-001-015_S1_L001_2	4.162555615122701	2.6420443728367085	1.764886374319998	1.155054965046074	0.7827513863397707	0.5804435064262443	0.4238424611546511	0.35896511183899477	0.2942563131883627	3.688196841961321	1.2421273078540596	2.4923477387625512	1.333556490648612	3.7826374108721432	1.8201928281280793	73.47614127549971
104974-001-016_S1_L001_1	1.825732150296608	0.8326823532887637	0.5304200821544137	0.34503924580721096	0.2522202261050816	0.21326863851040723	0.16495868337641437	0.14232927785905103	0.12583713888295828	2.042856150181216	0.9613023964512147	2.646712930625424	1.5208419190930083	4.945847008065937	2.7028052050243825	80.74714659427791
104974-001-016_S1_L001_2	2.365018668798574	0.8903144734209405	0.561471423599722	0.36526113973768726	0.25817253658365513	0.20557229150346903	0.17123623505584912	0.15030533593942647	0.12829996950666897	2.2225153914143188	0.9610261485770808	2.3182964925776837	1.3068790241011434	3.7778002184214565	1.4475784270656715	82.87025222369667
