Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
104974-001-004_S1_L001_1																		95.86636060757642	70.0	151.0	151	45.45454545454545	69625454.0	81.07334445864853	79.20447904582866	46.0	143.37152614868302	151	27.27272727272727	13860373.0
104974-001-004_S1_L001_2																		90.9809328345261	89.0	151.0	151	45.45454545454545	69625454.0	1.1570576317377734	67.47797487232833	48.0	143.4337925826383	151	36.36363636363637	13860373.0
104974-001-005_S1_L001	3.9792942523186	0.940975	1.1	18104711.0	4.66543422798305	0.004215465	6018348.0	36323177.0	100.0	99.68682530165243	1.2519417010246654	36323177.0	42341525	42341525	100.0	82.85	17127474.0													
104974-001-005_S1_L001_1																		97.40303424115335	66.0	151.0	151	45.45454545454545	62977557.0	68.9788458664885	92.27933446899912	46.0	142.56103859341994	151	27.27272727272727	20673576.0
104974-001-005_S1_L001_2																		66.8706368489335	80.0	151.0	151	45.45454545454545	62977557.0	2.0274156411935804	81.0877895422072	47.0	142.66352865125995	151	36.36363636363637	20673576.0
104974-001-006_S1_L001	1.35504956375015	0.705239	1.64	11680489.0	21.3776064254371	0.003357325	5338573.0	23439298.0	100.0	99.66586030008237	1.8763573892016734	23439298.0	28777871	28777871	100.0	73.62	10479181.0													
104974-001-006_S1_L001_1																		94.99452628666636	69.0	151.0	151	45.45454545454545	63367108.0	78.82572382768183	77.30115706899484	49.0	142.18375058959538	151	18.181818181818183	14234338.0
104974-001-006_S1_L001_2																		90.54004391311113	88.0	151.0	151	45.45454545454545	63367108.0	1.470216559720207	69.03980815909173	50.0	142.14220436524693	151	36.36363636363637	14234338.0
104974-001-007_S1_L001	0.541889166158733	0.643098	1.49	56994704.0	21.196739273049506	0.00454495	58470072.0	114312258.0	100.0	99.71757184605696	3.372896369521456	114312258.0	172782330	172782330	100.0	64.42	40815204.0													
104974-001-007_S1_L001_1																		76.74824977521757	51.0	151.0	151	45.45454545454545	78579762.0	23.70827343694373	70.58846085965766	45.0	142.68699602801541	151	27.27272727272727	63353720.0
104974-001-007_S1_L001_2																		67.39831607113996	56.0	151.0	151	45.45454545454545	78579762.0	4.566302650505467	62.165574390025306	45.0	142.9735549704106	151	27.27272727272727	63353720.0
104974-001-008_S1_L001	0.449485692408833	0.673149	1.46	37417548.0	18.20034479654615	0.004257551	44202630.0	74987079.0	100.0	99.79732108247609	3.126347940556532	74987079.0	119189709	119189709	100.0	57.04	23475952.0													
104974-001-008_S1_L001_1																		80.01256671691928	53.0	151.0	151	45.45454545454545	54697456.0	29.42194588955795	72.65241593381192	44.0	141.51745422542425	151	27.27272727272727	41158601.0
104974-001-008_S1_L001_2																		73.59261107908786	59.0	151.0	151	45.45454545454545	54697456.0	4.809963136491532	65.66279278754912	45.0	141.82047574940654	151	27.27272727272727	41158601.0
104974-001-009_S1_L001	1.17401727178664	0.911559	1.37	48762082.0	4.3223155012632395	0.003663846	70606660.0	97793680.0	100.0	99.724403458383	1.654619194205597	97793680.0	168400340	168400340	100.0	37.83	20250706.0													
104974-001-009_S1_L001_1																		94.29141202348647	50.0	151.0	151	45.45454545454545	71054075.0	30.565178871451494	91.89999469568883	41.0	138.98736427680046	151	36.36363636363637	53537181.0
104974-001-009_S1_L001_2																		89.93252550987789	57.0	151.0	151	45.45454545454545	71054075.0	6.168918438210383	87.64402686606373	42.0	139.1062139599767	151	36.36363636363637	53537181.0
104974-001-010_S1_L001	1.37251829916187	0.913114	1.18	51049960.0	4.376776552487562	0.003559388	70672041.0	102392083.0	100.0	99.71466250960047	1.293857846411817	102392083.0	173064124	173064124	100.0	38.79	21286440.0													
104974-001-010_S1_L001_1																		93.59775637024168	47.0	151.0	151	45.45454545454545	67630514.0	24.261702627386477	91.95122892136769	40.0	140.81592671734913	151	36.36363636363637	54873015.0
104974-001-010_S1_L001_2																		85.83425972057398	52.0	151.0	151	45.45454545454545	67630514.0	5.7570123054883675	87.15134113291548	41.0	140.69547443310705	151	27.27272727272727	54873015.0
104974-001-011_S1_L001	2.25813727499073	0.949191	1.31	42211937.0	2.3963730111426087	0.003610113	59435851.0	84640467.0	100.0	99.74410230983248	1.3284366684791566	84640467.0	144076318	144076318	100.0	38.02	17445514.0													
104974-001-011_S1_L001_1																		96.32156798050129	53.0	151.0	151	45.45454545454545	70867997.0	39.769517829023386	94.22445960142555	40.0	140.30926689732203	151	36.36363636363637	45883750.0
104974-001-011_S1_L001_2																		88.9168911844242	62.0	151.0	151	45.45454545454545	70867997.0	4.759208039414499	89.59769447515741	42.0	140.3846334050726	151	36.36363636363637	45883750.0
104974-001-012_S1_L001	0.141473632806545	0.707824	1.22	41071055.0	12.126598179456462	0.0022424	85278842.0	82154561.0	100.0	99.98484442026292	6.555586122601276	82154561.0	167433403	167433403	100.0	60.65	27088038.0													
104974-001-012_S1_L001_1																		85.28928194836746	56.0	151.0	151	45.45454545454545	45745017.0	12.939125816995023	84.53036856443903	55.0	134.64088688615774	147	36.36363636363637	44666116.0
104974-001-012_S1_L001_2																		83.67057018790123	56.0	151.0	151	45.45454545454545	45745017.0	12.942757682190292	82.8727403055019	56.0	134.62410096279694	147	36.36363636363637	44666116.0
104974-001-013_S1_L001	0.222849219752548	0.785257	1.28	63032504.0	9.486581088560476	0.002224746	116047793.0	126080491.0	100.0	99.98771974960027	4.0944002986155885	126080491.0	242128284	242128284	100.0	58.44	40513684.0													
104974-001-013_S1_L001_1																		90.03167845574097	56.0	151.0	151	45.45454545454545	71652675.0	18.56344879763608	88.81691366618955	56.0	127.09092222064167	137	36.36363636363637	69329114.0
104974-001-013_S1_L001_2																		88.42939044906953	56.0	151.0	151	45.45454545454545	71652675.0	18.518924485142303	87.22481910503264	56.0	127.1450444469837	142	36.36363636363637	69329114.0
104974-001-014_S1_L001	0.189060338957059	0.91861	1.15	48834199.0	3.1473216675963505	0.001941562	103754243.0	97677980.0	100.0	99.99019021482631	3.8913959932422846	97677980.0	201432223	201432223	100.0	55.33	28507742.0													
104974-001-014_S1_L001_1																		95.57263180212834	58.0	151.0	151	45.45454545454545	55558984.0	19.26274600973613	95.00143104543868	58.0	131.41043447135178	142	36.36363636363637	51527402.0
104974-001-014_S1_L001_2																		95.05355587693852	58.0	151.0	151	45.45454545454545	55558984.0	19.245095822143313	94.44769138242876	58.0	131.3811696153437	142	36.36363636363637	51527402.0
104974-001-015_S1_L001	0.402087196431142	0.89237	1.12	77840571.0	4.243654932806896	0.002138924	182119363.0	155702355.0	100.0	99.98637592861071	5.201022810477079	155702355.0	337821718	337821718	100.0	53.9	44259846.0													
104974-001-015_S1_L001_1																		93.85104200832988	58.0	151.0	151	45.45454545454545	87296352.0	18.022568269246335	93.17425988356477	58.0	131.5586458340792	147	36.36363636363637	82121724.0
104974-001-015_S1_L001_2																		93.01884858458165	58.0	151.0	151	45.45454545454545	87296352.0	17.958845208648377	92.29127281368628	58.0	131.61200879075554	147	36.36363636363637	82121724.0
104974-001-016_S1_L001	0.29124084501282	0.954365	1.03	95646147.0	1.6623641506649312	0.002195313	218678027.0	191311926.0	100.0	99.98973822468339	4.680659584180863	191311926.0	409989953	409989953	100.0	54.0	54573083.0													
104974-001-016_S1_L001_1																		97.2193549093011	58.0	151.0	151	45.45454545454545	104935676.0	17.37909032377824	97.00115238963863	59.0	129.5461635622287	142	36.36363636363637	101057745.0
104974-001-016_S1_L001_2																		96.6276037361138	58.0	151.0	151	45.45454545454545	104935676.0	17.344727816025085	96.30864232629776	59.0	129.5648937644512	142	36.36363636363637	101057745.0
